[0000] system:
You are an expert software engineer, and you are interacting with a
standard Ubuntu machine with bash commands and python tools.
Your bash session and python session are NOT stateful, so all commands must be self-contained.
You will be given an issue to fix.
Your objective is to modify the code on the file system to fix the issue.
The repository code is already checked out to the current working directory.
You do NOT need to change branches or commit the fix.
**DO NOT MODIFY THE TESTS.**

IMPORTANT: You can submit *multiple* times and receive feedback about test results.
After each submission, you'll see which tests passed or failed.
Use this feedback to iterate and improve your solution.

**DO NOT MODIFY THE TESTS.** If you find any tests that are logically flawed or inconsistent with the function's documented behavior, STOP. Do NOT try to carve out the code to pass the tests.

TOOLS AVAILABLE:
- bash: Execute shell commands
- python: Execute Python code
- text_editor: Edit files
- think: Log thoughts and reasoning

TEST COMMAND THAT WILL BE RUN FOR EVALUATION:
pytest -rA testing/test_skipping.py


Some tips:
1. First, understand the issue by reading the problem statement carefully
2. Explore the repository structure to understand the codebase
3. Look at the failing tests to understand what behavior is expected
4. Examine the test files to understand the test cases
5. Identify the root cause of the issue
6. Implement a fix
7. Submit your solution
8. If tests fail, analyze the feedback and iterate

After implementing the fix, use your submit tool to submit it. **You could submit up to 10 times.**

[0001] user:
Please solve the following coding issue:

Pytest 6: Dynamically adding xfail marker in test no longer ignores failure
<!--
Thanks for submitting an issue!

Here's a quick checklist for what to provide:
-->

## Description

With pytest 5.x, we can dynamically add an xfail to a test `request` object using `request.node.add_marker(mark)` (see example below). In 5.x this treated the failing test like a a test marked statically with an `xfail`. With 6.0.0rc0 it raises. 

## Versions

<details>

```
$ pip list
Package                       Version                         Location                                                      
----------------------------- ------------------------------- --------------------------------------------------------------
a                             1.0                             
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_imperative0
collected 1 item

test_xfail_imperative.py x                                               [100%]

=========================== short test summary info ============================
XFAIL test_xfail_imperative.py::test_this
  reason: hello
============================== 1 xfailed in 0.01s ==============================
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_imperative0
collected 1 item

test_xfail_imperative.py .                                               [100%]

============================== 1 passed in 0.01s ===============================
______________ TestXFail.test_xfail_imperative_in_setup_function _______________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_imperative_in_setup_function0
collected 1 item

test_xfail_imperative_in_setup_function.py x                             [100%]

============================== 1 xfailed in 0.01s ==============================
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_imperative_in_setup_function0
collected 1 item

test_xfail_imperative_in_setup_function.py x                             [100%]

=========================== short test summary info ============================
XFAIL test_xfail_imperative_in_setup_function.py::test_this
  reason: hello
============================== 1 xfailed in 0.01s ==============================
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_imperative_in_setup_function0
collected 1 item

test_xfail_imperative_in_setup_function.py F                             [100%]

=================================== FAILURES ===================================
__________________________________ test_this ___________________________________

    def test_this():
>       assert 0
E       assert 0

test_xfail_imperative_in_setup_function.py:6: AssertionError
=========================== short test summary info ============================
FAILED test_xfail_imperative_in_setup_function.py::test_this - assert 0
============================== 1 failed in 0.01s ===============================
_____________________ TestXFail.test_dynamic_xfail_no_run ______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_dynamic_xfail_no_run0
collected 1 item

test_dynamic_xfail_no_run.py x                                           [100%]

=========================== short test summary info ============================
XFAIL test_dynamic_xfail_no_run.py::test_this
  reason: [NOTRUN] 
============================== 1 xfailed in 0.08s ==============================
____________ TestXFail.test_dynamic_xfail_set_during_funcarg_setup _____________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_dynamic_xfail_set_during_funcarg_setup0
collected 1 item

test_dynamic_xfail_set_during_funcarg_setup.py x                         [100%]

============================== 1 xfailed in 0.01s ==============================
____________ TestXFail.test_dynamic_xfail_set_during_runtest_failed ____________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_dynamic_xfail_set_during_runtest_failed0
collected 1 item

test_dynamic_xfail_set_during_runtest_failed.py x                        [100%]

============================== 1 xfailed in 0.01s ==============================
________ TestXFail.test_dynamic_xfail_set_during_runtest_passed_strict _________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_dynamic_xfail_set_during_runtest_passed_strict0
collected 1 item

test_dynamic_xfail_set_during_runtest_passed_strict.py F                 [100%]

=================================== FAILURES ===================================
__________________________________ test_this ___________________________________
[XPASS(strict)] xfail
=========================== short test summary info ============================
FAILED test_dynamic_xfail_set_during_runtest_passed_strict.py::test_this
============================== 1 failed in 0.01s ===============================
_________ TestXFail.test_xfail_raises[TypeError-TypeError-*1 xfailed*] _________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_raises0
collected 1 item

test_xfail_raises.py x                                                   [100%]

============================== 1 xfailed in 0.01s ==============================
_ TestXFail.test_xfail_raises[(AttributeError, TypeError)-TypeError-*1 xfailed*] _
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_raises1
collected 1 item

test_xfail_raises.py x                                                   [100%]

============================== 1 xfailed in 0.01s ==============================
_________ TestXFail.test_xfail_raises[TypeError-IndexError-*1 failed*] _________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_raises2
collected 1 item

test_xfail_raises.py F                                                   [100%]

=================================== FAILURES ===================================
_________________________________ test_raises __________________________________

    @pytest.mark.xfail(raises=TypeError)
    def test_raises():
>       raise IndexError()
E       IndexError

test_xfail_raises.py:4: IndexError
=========================== short test summary info ============================
FAILED test_xfail_raises.py::test_raises - IndexError
============================== 1 failed in 0.01s ===============================
_ TestXFail.test_xfail_raises[(AttributeError, TypeError)-IndexError-*1 failed*] _
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_raises3
collected 1 item

test_xfail_raises.py F                                                   [100%]

=================================== FAILURES ===================================
_________________________________ test_raises __________________________________

    @pytest.mark.xfail(raises=(AttributeError, TypeError))
    def test_raises():
>       raise IndexError()
E       IndexError

test_xfail_raises.py:4: IndexError
=========================== short test summary info ============================
FAILED test_xfail_raises.py::test_raises - IndexError
============================== 1 failed in 0.01s ===============================
_________________________ TestXFail.test_strict_sanity _________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_strict_sanity0
collected 1 item

test_strict_sanity.py x                                                  [100%]

=========================== short test summary info ============================
XFAIL test_strict_sanity.py::test_foo
  unsupported feature
============================== 1 xfailed in 0.01s ==============================
______________________ TestXFail.test_strict_xfail[True] _______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_strict_xfail0
collected 1 item

test_strict_xfail.py F                                                   [100%]

=================================== FAILURES ===================================
___________________________________ test_foo ___________________________________
[XPASS(strict)] unsupported feature
============================== 1 failed in 0.01s ===============================
______________________ TestXFail.test_strict_xfail[False] ______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_strict_xfail1
collected 1 item

test_strict_xfail.py X                                                   [100%]

=========================== short test summary info ============================
XPASS test_strict_xfail.py::test_foo unsupported feature
============================== 1 xpassed in 0.01s ==============================
_________________ TestXFail.test_strict_xfail_condition[True] __________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_strict_xfail_condition0
collected 1 item

test_strict_xfail_condition.py .                                         [100%]

============================== 1 passed in 0.01s ===============================
_________________ TestXFail.test_strict_xfail_condition[False] _________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_strict_xfail_condition1
collected 1 item

test_strict_xfail_condition.py .                                         [100%]

============================== 1 passed in 0.01s ===============================
_________________ TestXFail.test_xfail_condition_keyword[True] _________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_condition_keyword0
collected 1 item

test_xfail_condition_keyword.py .                                        [100%]

============================== 1 passed in 0.01s ===============================
________________ TestXFail.test_xfail_condition_keyword[False] _________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_condition_keyword1
collected 1 item

test_xfail_condition_keyword.py .                                        [100%]

============================== 1 passed in 0.01s ===============================
_____________ TestXFail.test_strict_xfail_default_from_file[true] ______________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_strict_xfail_default_from_file0, configfile: tox.ini
collected 1 item

test_strict_xfail_default_from_file.py F                                 [100%]

=================================== FAILURES ===================================
___________________________________ test_foo ___________________________________
[XPASS(strict)] unsupported feature
============================== 1 failed in 0.01s ===============================
_____________ TestXFail.test_strict_xfail_default_from_file[false] _____________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_strict_xfail_default_from_file1, configfile: tox.ini
collected 1 item

test_strict_xfail_default_from_file.py X                                 [100%]

=========================== short test summary info ============================
XPASS test_strict_xfail_default_from_file.py::test_foo unsupported feature
============================== 1 xpassed in 0.01s ==============================
_____________ TestXFailwithSetupTeardown.test_failing_setup_issue9 _____________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_failing_setup_issue90
collected 1 item

test_failing_setup_issue9.py x                                           [100%]

============================== 1 xfailed in 0.01s ==============================
___________ TestXFailwithSetupTeardown.test_failing_teardown_issue9 ____________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_failing_teardown_issue90
collected 1 item

test_failing_teardown_issue9.py Xx                                       [100%]

======================== 1 xfailed, 1 xpassed in 0.01s =========================
___________________________ TestSkip.test_skip_class ___________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skip_class0
collected 3 items

test_skip_class.py ss.                                                   [100%]

========================= 1 passed, 2 skipped in 0.01s =========================
_____________________ TestSkip.test_skips_on_false_string ______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skips_on_false_string0
collected 1 item

test_skips_on_false_string.py s                                          [100%]

============================== 1 skipped in 0.01s ==============================
_________________________ TestSkip.test_arg_as_reason __________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_arg_as_reason0
collected 1 item

test_arg_as_reason.py s                                                  [100%]

=========================== short test summary info ============================
SKIPPED [1] test_arg_as_reason.py:2: testing stuff
============================== 1 skipped in 0.01s ==============================
_________________________ TestSkip.test_skip_no_reason _________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skip_no_reason0
collected 1 item

test_skip_no_reason.py s                                                 [100%]

=========================== short test summary info ============================
SKIPPED [1] test_skip_no_reason.py:2: unconditional skip
============================== 1 skipped in 0.01s ==============================
________________________ TestSkip.test_skip_with_reason ________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skip_with_reason0
collected 1 item

test_skip_with_reason.py s                                               [100%]

=========================== short test summary info ============================
SKIPPED [1] test_skip_with_reason.py:2: for lolz
============================== 1 skipped in 0.01s ==============================
_____________________ TestSkip.test_only_skips_marked_test _____________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_only_skips_marked_test0
collected 3 items

test_only_skips_marked_test.py ss.                                       [100%]

=========================== short test summary info ============================
SKIPPED [1] test_only_skips_marked_test.py:2: unconditional skip
SKIPPED [1] test_only_skips_marked_test.py:5: nothing in particular
========================= 1 passed, 2 skipped in 0.01s =========================
________________________ TestSkip.test_strict_and_skip _________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_strict_and_skip0
collected 1 item

test_strict_and_skip.py s                                                [100%]

=========================== short test summary info ============================
SKIPPED [1] test_strict_and_skip.py:2: unconditional skip
============================== 1 skipped in 0.01s ==============================
______________________ TestSkipif.test_skipif_conditional ______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif_conditional0
collected 0 items

============================ no tests ran in 0.00s =============================
_________ TestSkipif.test_skipif_reporting["hasattr(sys, 'platform')"] _________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif_reporting0
collected 1 item

test_foo.py s

=========================== short test summary info ============================
SKIPPED [1] test_foo.py:2: condition: hasattr(sys, 'platform')
============================== 1 skipped in 0.01s ==============================
______ TestSkipif.test_skipif_reporting[True, reason="invalid platform"] _______
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif_reporting1
collected 1 item

test_foo.py s

=========================== short test summary info ============================
SKIPPED [1] test_foo.py:2: invalid platform
============================== 1 skipped in 0.01s ==============================
____________________ TestSkipif.test_skipif_using_platform _____________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif_using_platform0
collected 0 items

============================ no tests ran in 0.00s =============================
________ TestSkipif.test_skipif_reporting_multiple[skipif-SKIP-skipped] ________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif_reporting_multiple0
collected 1 item

test_foo.py s

=========================== short test summary info ============================
SKIPPED [1] test_foo.py:2: second_condition
============================== 1 skipped in 0.01s ==============================
________ TestSkipif.test_skipif_reporting_multiple[xfail-XPASS-xpassed] ________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif_reporting_multiple1
collected 1 item

test_foo.py X

=========================== short test summary info ============================
XPASS test_foo.py::test_foobar second_condition
============================== 1 xpassed in 0.01s ==============================
_________________________ test_skip_not_report_default _________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /tmp/pytest-of-root/pytest-0/test_skip_not_report_default0
collecting ... collected 1 item

test_one.py::test_this SKIPPED                                           [100%]

============================== 1 skipped in 0.01s ==============================
______________________________ test_skipif_class _______________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif_class1
collected 2 items

test_skipif_class.py ss                                                  [100%]

============================== 2 skipped in 0.01s ==============================
_______________________ test_skipped_reasons_functional ________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipped_reasons_functional0
collected 3 items

test_one.py sss                                                          [100%]

=========================== short test summary info ============================
SKIPPED [2] conftest.py:4: test
SKIPPED [1] test_one.py:14: via_decorator
============================== 3 skipped in 0.01s ==============================
_____________________________ test_skipped_folding _____________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipped_folding0
collected 2 items

test_one.py ss                                                           [100%]

=========================== short test summary info ============================
SKIPPED [2] test_one.py: Folding
============================== 2 skipped in 0.01s ==============================
_______________________________ test_reportchars _______________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_reportchars0
collected 4 items

test_reportchars.py FxXs                                                 [100%]

=================================== FAILURES ===================================
____________________________________ test_1 ____________________________________

    def test_1():
>       assert 0
E       assert 0

test_reportchars.py:3: AssertionError
=========================== short test summary info ============================
FAILED test_reportchars.py::test_1 - assert 0
XFAIL test_reportchars.py::test_2
XPASS test_reportchars.py::test_3 
SKIPPED [1] test_reportchars.py:11: four
============== 1 failed, 1 skipped, 1 xfailed, 1 xpassed in 0.02s ==============
____________________________ test_reportchars_error ____________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_reportchars_error0
collected 1 item

test_simple.py .E                                                        [100%]

==================================== ERRORS ====================================
________________________ ERROR at teardown of test_foo _________________________

    def pytest_runtest_teardown():
>       assert 0
E       assert 0

conftest.py:2: AssertionError
=========================== short test summary info ============================
ERROR test_simple.py::test_foo - assert 0
========================== 1 passed, 1 error in 0.01s ==========================
_____________________________ test_reportchars_all _____________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_reportchars_all0
collected 5 items

test_reportchars_all.py FxXsE                                            [100%]

==================================== ERRORS ====================================
___________________________ ERROR at setup of test_5 ___________________________

    @pytest.fixture
    def fail():
>       assert 0
E       assert 0

test_reportchars_all.py:14: AssertionError
=================================== FAILURES ===================================
____________________________________ test_1 ____________________________________

    def test_1():
>       assert 0
E       assert 0

test_reportchars_all.py:3: AssertionError
=========================== short test summary info ============================
SKIPPED [1] test_reportchars_all.py:11: four
XFAIL test_reportchars_all.py::test_2
XPASS test_reportchars_all.py::test_3 
ERROR test_reportchars_all.py::test_5 - assert 0
FAILED test_reportchars_all.py::test_1 - assert 0
========= 1 failed, 1 skipped, 1 xfailed, 1 xpassed, 1 error in 0.02s ==========
__________________________ test_reportchars_all_error __________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_reportchars_all_error0
collected 1 item

test_simple.py .E                                                        [100%]

==================================== ERRORS ====================================
________________________ ERROR at teardown of test_foo _________________________

    def pytest_runtest_teardown():
>       assert 0
E       assert 0

conftest.py:2: AssertionError
=========================== short test summary info ============================
ERROR test_simple.py::test_foo - assert 0
========================== 1 passed, 1 error in 0.01s ==========================
________________________ test_xfail_skipif_with_globals ________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_skipif_with_globals0
collected 2 items

test_xfail_skipif_with_globals.py sx                                     [100%]

=========================== short test summary info ============================
SKIPPED [1] test_xfail_skipif_with_globals.py:3: condition: x == 3
XFAIL test_xfail_skipif_with_globals.py::test_boolean
  condition: x == 3
======================== 1 skipped, 1 xfailed in 0.01s =========================
_____________________________ test_default_markers _____________________________
----------------------------- Captured stdout call -----------------------------
@pytest.mark.filterwarnings(warning): add a warning filter to the given test. see https://docs.pytest.org/en/stable/warnings.html#pytest-mark-filterwarnings 

@pytest.mark.skip(reason=None): skip the given test function with an optional reason. Example: skip(reason="no way of currently testing this") skips the test.

@pytest.mark.skipif(condition, ..., *, reason=...): skip the given test function if any of the conditions evaluate to True. Example: skipif(sys.platform == 'win32') skips the test if we are on the win32 platform. See https://docs.pytest.org/en/stable/reference.html#pytest-mark-skipif

@pytest.mark.xfail(condition, ..., *, reason=..., run=True, raises=None, strict=xfail_strict): mark the test function as an expected failure if any of the conditions evaluate to True. Optionally specify a reason for better reporting and run=False if you don't even want to execute the test function. If only specific exception(s) are expected, you can list them in raises, and if the test fails in other ways, it will be reported as a true failure. See https://docs.pytest.org/en/stable/reference.html#pytest-mark-xfail

@pytest.mark.parametrize(argnames, argvalues): call a test function multiple times passing in different arguments in turn. argvalues generally needs to be a list of values if argnames specifies only one name or a list of tuples of values if argnames specifies multiple names. Example: @parametrize('arg1', [1,2]) would lead to two calls of the decorated test function, one with arg1=1 and another with arg1=2.see https://docs.pytest.org/en/stable/parametrize.html for more info and examples.

@pytest.mark.usefixtures(fixturename1, fixturename2, ...): mark tests as needing all of the specified fixtures. see https://docs.pytest.org/en/stable/fixture.html#usefixtures 

@pytest.mark.tryfirst: mark a hook implementation function such that the plugin machinery will try to call it first/as early as possible.

@pytest.mark.trylast: mark a hook implementation function such that the plugin machinery will try to call it last/as late as possible.

_______________________ test_xfail_test_setup_exception ________________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_xfail_test_setup_exception0
collected 1 item

test_xfail_test_setup_exception.py x                                     [100%]

============================== 1 xfailed in 0.01s ==============================
______________________ test_imperativeskip_on_xfail_test _______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_imperativeskip_on_xfail_test0
collected 2 items

test_imperativeskip_on_xfail_test.py ss                                  [100%]

=========================== short test summary info ============================
SKIPPED [1] conftest.py:3: abc
SKIPPED [1] test_imperativeskip_on_xfail_test.py:6: condition: True
============================== 2 skipped in 0.01s ==============================
_______________________ TestBooleanCondition.test_skipif _______________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif0
collected 2 items

test_skipif.py s.                                                        [100%]

========================= 1 passed, 1 skipped in 0.01s =========================
__________________ TestBooleanCondition.test_skipif_noreason ___________________
----------------------------- Captured stdout call -----------------------------
============================= test session starts ==============================
platform linux -- Python 3.9.25, pytest-6.0.0rc2.dev33+g7f7a36478, py-1.11.0, pluggy-0.13.1
rootdir: /tmp/pytest-of-root/pytest-0/test_skipif_noreason0
collected 1 item

